Epoch:   1|train loss: 1.7749|train accuracy: 49.93|test accuracy: 66.44
Epoch:   2|train loss: 1.1227|train accuracy: 66.15|test accuracy: 72.35
Epoch:   3|train loss: 0.9759|train accuracy: 70.92|test accuracy: 76.75
Epoch:   4|train loss: 0.8497|train accuracy: 74.46|test accuracy: 79.47
Epoch:   5|train loss: 0.8058|train accuracy: 76.23|test accuracy: 78.59
Epoch:   6|train loss: 0.7617|train accuracy: 77.45|test accuracy: 81.31
Epoch:   7|train loss: 0.7230|train accuracy: 78.31|test accuracy: 81.61
Epoch:   8|train loss: 0.7423|train accuracy: 79.33|test accuracy: 81.39
Epoch:   9|train loss: 0.6742|train accuracy: 79.78|test accuracy: 81.77
Epoch:  10|train loss: 0.6248|train accuracy: 80.96|test accuracy: 83.57
Epoch:  11|train loss: 0.6321|train accuracy: 81.75|test accuracy: 84.12
Epoch:  12|train loss: 0.6283|train accuracy: 81.56|test accuracy: 84.92
Epoch:  13|train loss: 0.5918|train accuracy: 81.87|test accuracy: 86.04
Epoch:  14|train loss: 0.5544|train accuracy: 82.62|test accuracy: 85.20
Epoch:  15|train loss: 0.5327|train accuracy: 83.70|test accuracy: 85.32
Epoch:  16|train loss: 0.5565|train accuracy: 83.23|test accuracy: 84.90
Epoch:  17|train loss: 0.5512|train accuracy: 83.25|test accuracy: 83.65
Epoch:  18|train loss: 0.5459|train accuracy: 83.57|test accuracy: 87.07
Epoch:  19|train loss: 0.5260|train accuracy: 84.27|test accuracy: 85.13
Epoch:  20|train loss: 0.5010|train accuracy: 84.71|test accuracy: 85.39
Epoch:  21|train loss: 0.5350|train accuracy: 84.32|test accuracy: 87.71
Epoch:  22|train loss: 0.5002|train accuracy: 84.90|test accuracy: 87.81
Epoch:  23|train loss: 0.5008|train accuracy: 84.87|test accuracy: 87.22
Epoch:  24|train loss: 0.4948|train accuracy: 85.15|test accuracy: 85.01
Epoch:  25|train loss: 0.4858|train accuracy: 85.24|test accuracy: 86.80
Epoch:  26|train loss: 0.4803|train accuracy: 85.81|test accuracy: 85.55
Epoch:  27|train loss: 0.5228|train accuracy: 84.62|test accuracy: 87.35
Epoch:  28|train loss: 0.4596|train accuracy: 86.02|test accuracy: 83.82
Epoch:  29|train loss: 0.4622|train accuracy: 85.89|test accuracy: 88.32
Epoch:  30|train loss: 0.4258|train accuracy: 86.77|test accuracy: 87.73
Epoch:  31|train loss: 0.4385|train accuracy: 86.51|test accuracy: 87.58
Epoch:  32|train loss: 0.4369|train accuracy: 86.98|test accuracy: 87.67
Epoch:  33|train loss: 0.4442|train accuracy: 86.67|test accuracy: 86.55
Epoch:  34|train loss: 0.4431|train accuracy: 86.51|test accuracy: 86.80
Epoch:  35|train loss: 0.4648|train accuracy: 86.57|test accuracy: 86.86
Epoch:  36|train loss: 0.4769|train accuracy: 85.74|test accuracy: 88.28
Epoch:  37|train loss: 0.4061|train accuracy: 87.60|test accuracy: 88.03
Epoch:  38|train loss: 0.4340|train accuracy: 87.10|test accuracy: 87.52
Epoch:  39|train loss: 0.4287|train accuracy: 87.39|test accuracy: 88.70
Epoch:  40|train loss: 0.4347|train accuracy: 86.80|test accuracy: 88.03
Epoch:  41|train loss: 0.4271|train accuracy: 86.83|test accuracy: 87.54
Epoch:  42|train loss: 0.4290|train accuracy: 86.99|test accuracy: 88.38
Epoch:  43|train loss: 0.4378|train accuracy: 87.10|test accuracy: 88.70
Epoch:  44|train loss: 0.4530|train accuracy: 87.10|test accuracy: 88.24
Epoch:  45|train loss: 0.3998|train accuracy: 87.88|test accuracy: 88.60
Epoch:  46|train loss: 0.4262|train accuracy: 86.98|test accuracy: 88.26
Epoch:  47|train loss: 0.3985|train accuracy: 88.06|test accuracy: 87.39
Epoch:  48|train loss: 0.4469|train accuracy: 87.07|test accuracy: 87.50
Epoch:  49|train loss: 0.4240|train accuracy: 87.61|test accuracy: 87.77
Epoch:  50|train loss: 0.4000|train accuracy: 87.98|test accuracy: 88.83
Epoch:  51|train loss: 0.3891|train accuracy: 88.47|test accuracy: 83.32
Epoch:  52|train loss: 0.4011|train accuracy: 87.87|test accuracy: 89.00
Epoch:  53|train loss: 0.3741|train accuracy: 88.54|test accuracy: 86.06
Epoch:  54|train loss: 0.3850|train accuracy: 88.08|test accuracy: 89.38
Epoch:  55|train loss: 0.3839|train accuracy: 88.18|test accuracy: 88.70
Epoch:  56|train loss: 0.3552|train accuracy: 89.09|test accuracy: 88.89
Epoch:  57|train loss: 0.3860|train accuracy: 88.39|test accuracy: 89.06
Epoch:  58|train loss: 0.3723|train accuracy: 88.68|test accuracy: 89.14
Epoch:  59|train loss: 0.3711|train accuracy: 88.94|test accuracy: 88.91
Epoch:  60|train loss: 0.3551|train accuracy: 88.88|test accuracy: 89.48
Epoch:  61|train loss: 0.3691|train accuracy: 89.10|test accuracy: 87.58
Epoch:  62|train loss: 0.3642|train accuracy: 88.48|test accuracy: 87.73
Epoch:  63|train loss: 0.3731|train accuracy: 89.20|test accuracy: 88.53
Epoch:  64|train loss: 0.3767|train accuracy: 88.16|test accuracy: 89.36
Epoch:  65|train loss: 0.3749|train accuracy: 88.85|test accuracy: 88.53
Epoch:  66|train loss: 0.3623|train accuracy: 88.73|test accuracy: 87.96
Epoch:  67|train loss: 0.3392|train accuracy: 89.70|test accuracy: 89.52
Epoch:  68|train loss: 0.3587|train accuracy: 89.23|test accuracy: 89.27
Epoch:  69|train loss: 0.3739|train accuracy: 88.82|test accuracy: 87.56
Epoch:  70|train loss: 0.4083|train accuracy: 88.49|test accuracy: 89.44
Epoch:  71|train loss: 0.3946|train accuracy: 88.26|test accuracy: 88.93
Epoch:  72|train loss: 0.3528|train accuracy: 88.84|test accuracy: 89.59
Epoch:  73|train loss: 0.3479|train accuracy: 90.04|test accuracy: 87.10
Epoch:  74|train loss: 0.3860|train accuracy: 88.63|test accuracy: 86.12
Epoch:  75|train loss: 0.3636|train accuracy: 88.96|test accuracy: 89.12
Epoch:  76|train loss: 0.3758|train accuracy: 88.80|test accuracy: 89.71
Epoch:  77|train loss: 0.3804|train accuracy: 89.07|test accuracy: 89.12
Epoch:  78|train loss: 0.3488|train accuracy: 89.45|test accuracy: 89.50
Epoch:  79|train loss: 0.3543|train accuracy: 89.86|test accuracy: 88.24
Epoch:  80|train loss: 0.3514|train accuracy: 88.99|test accuracy: 89.80
Epoch:  81|train loss: 0.3261|train accuracy: 90.10|test accuracy: 89.27
Epoch:  82|train loss: 0.3294|train accuracy: 89.78|test accuracy: 89.97
Epoch:  83|train loss: 0.3586|train accuracy: 89.81|test accuracy: 88.95
Epoch:  84|train loss: 0.3515|train accuracy: 89.33|test accuracy: 85.49
Epoch:  85|train loss: 0.3369|train accuracy: 89.82|test accuracy: 88.24
Epoch:  86|train loss: 0.3418|train accuracy: 89.25|test accuracy: 89.02
Epoch:  87|train loss: 0.3390|train accuracy: 89.76|test accuracy: 89.29
Epoch:  88|train loss: 0.3609|train accuracy: 89.57|test accuracy: 86.40
Epoch:  89|train loss: 0.3468|train accuracy: 89.57|test accuracy: 90.03
Epoch:  90|train loss: 0.3359|train accuracy: 89.60|test accuracy: 89.84
Epoch:  91|train loss: 0.3372|train accuracy: 90.18|test accuracy: 86.55
Epoch:  92|train loss: 0.3208|train accuracy: 90.17|test accuracy: 89.38
Epoch:  93|train loss: 0.3524|train accuracy: 89.65|test accuracy: 89.27
Epoch:  94|train loss: 0.3664|train accuracy: 89.26|test accuracy: 89.97
Epoch:  95|train loss: 0.3400|train accuracy: 89.60|test accuracy: 89.80
Epoch:  96|train loss: 0.3593|train accuracy: 90.42|test accuracy: 88.74
Epoch:  97|train loss: 0.3611|train accuracy: 89.80|test accuracy: 84.48
Epoch:  98|train loss: 0.3329|train accuracy: 89.52|test accuracy: 90.50
Epoch:  99|train loss: 0.3168|train accuracy: 90.59|test accuracy: 89.71
Epoch: 100|train loss: 0.3118|train accuracy: 90.51|test accuracy: 90.22
Epoch: 101|train loss: 0.3415|train accuracy: 90.66|test accuracy: 89.63
Epoch: 102|train loss: 0.3960|train accuracy: 88.84|test accuracy: 89.95
Epoch: 103|train loss: 0.3235|train accuracy: 90.22|test accuracy: 90.52
Epoch: 104|train loss: 0.3247|train accuracy: 89.74|test accuracy: 90.79
Epoch: 105|train loss: 0.3726|train accuracy: 90.24|test accuracy: 90.77
Epoch: 106|train loss: 0.3747|train accuracy: 89.28|test accuracy: 88.32
Epoch: 107|train loss: 0.3254|train accuracy: 89.78|test accuracy: 89.90
Epoch: 108|train loss: 0.3064|train accuracy: 90.71|test accuracy: 90.52
Epoch: 109|train loss: 0.3133|train accuracy: 90.69|test accuracy: 88.32
Epoch: 110|train loss: 0.3419|train accuracy: 89.91|test accuracy: 89.10
Epoch: 111|train loss: 0.3240|train accuracy: 90.28|test accuracy: 89.57
Epoch: 112|train loss: 0.3069|train accuracy: 90.45|test accuracy: 89.90
Epoch: 113|train loss: 0.3690|train accuracy: 90.09|test accuracy: 89.88
Epoch: 114|train loss: 0.3440|train accuracy: 90.13|test accuracy: 89.00
Epoch: 115|train loss: 0.3274|train accuracy: 89.85|test accuracy: 89.93
Epoch: 116|train loss: 0.3266|train accuracy: 90.64|test accuracy: 89.86
Epoch: 117|train loss: 0.3742|train accuracy: 89.68|test accuracy: 89.74
Epoch: 118|train loss: 0.3410|train accuracy: 89.66|test accuracy: 90.73
Epoch: 119|train loss: 0.3075|train accuracy: 91.06|test accuracy: 87.90
Epoch: 120|train loss: 0.3229|train accuracy: 89.94|test accuracy: 90.41
Epoch: 121|train loss: 0.3007|train accuracy: 90.73|test accuracy: 87.14
Epoch: 122|train loss: 0.3643|train accuracy: 89.88|test accuracy: 88.57
Epoch: 123|train loss: 0.3366|train accuracy: 90.52|test accuracy: 88.49
Epoch: 124|train loss: 0.3151|train accuracy: 89.96|test accuracy: 90.18
Epoch: 125|train loss: 0.2911|train accuracy: 91.30|test accuracy: 90.81
Epoch: 126|train loss: 0.3453|train accuracy: 90.63|test accuracy: 88.76
Epoch: 127|train loss: 0.3552|train accuracy: 89.81|test accuracy: 90.14
Epoch: 128|train loss: 0.3103|train accuracy: 90.50|test accuracy: 90.35
Epoch: 129|train loss: 0.3309|train accuracy: 90.78|test accuracy: 90.45
Epoch: 130|train loss: 0.3365|train accuracy: 90.18|test accuracy: 90.52
Epoch: 131|train loss: 0.3768|train accuracy: 89.66|test accuracy: 90.60
Epoch: 132|train loss: 0.3333|train accuracy: 89.73|test accuracy: 90.01
Epoch: 133|train loss: 0.3091|train accuracy: 90.80|test accuracy: 89.38
Epoch: 134|train loss: 0.3217|train accuracy: 90.53|test accuracy: 89.59
Epoch: 135|train loss: 0.3450|train accuracy: 89.80|test accuracy: 90.05
Epoch: 136|train loss: 0.3394|train accuracy: 90.60|test accuracy: 90.79
Epoch: 137|train loss: 0.3843|train accuracy: 89.41|test accuracy: 89.78
Epoch: 138|train loss: 0.3279|train accuracy: 90.36|test accuracy: 90.18
Epoch: 139|train loss: 0.3229|train accuracy: 90.93|test accuracy: 89.02
Epoch: 140|train loss: 0.3398|train accuracy: 90.06|test accuracy: 88.05
Epoch: 141|train loss: 0.3229|train accuracy: 90.60|test accuracy: 87.50
Epoch: 142|train loss: 0.3175|train accuracy: 90.42|test accuracy: 89.38
Epoch: 143|train loss: 0.3218|train accuracy: 91.15|test accuracy: 90.18
Epoch: 144|train loss: 0.3599|train accuracy: 89.79|test accuracy: 89.31
Epoch: 145|train loss: 0.3240|train accuracy: 90.40|test accuracy: 90.22
Epoch: 146|train loss: 0.2816|train accuracy: 91.40|test accuracy: 90.81
Epoch: 147|train loss: 0.3118|train accuracy: 91.34|test accuracy: 89.44
Epoch: 148|train loss: 0.3187|train accuracy: 90.74|test accuracy: 89.88
Epoch: 149|train loss: 0.3159|train accuracy: 90.90|test accuracy: 90.48
Epoch: 150|train loss: 0.3228|train accuracy: 90.82|test accuracy: 90.88
Epoch: 151|train loss: 0.3117|train accuracy: 91.15|test accuracy: 89.46
Epoch: 152|train loss: 0.3193|train accuracy: 90.70|test accuracy: 90.43
Epoch: 153|train loss: 0.2983|train accuracy: 90.94|test accuracy: 90.41
Epoch: 154|train loss: 0.3135|train accuracy: 91.17|test accuracy: 91.13
Epoch: 155|train loss: 0.2916|train accuracy: 91.10|test accuracy: 90.58
Epoch: 156|train loss: 0.2939|train accuracy: 91.31|test accuracy: 90.86
Epoch: 157|train loss: 0.3137|train accuracy: 90.82|test accuracy: 90.05
Epoch: 158|train loss: 0.3335|train accuracy: 90.08|test accuracy: 90.64
Epoch: 159|train loss: 0.2828|train accuracy: 91.47|test accuracy: 90.69
Epoch: 160|train loss: 0.2815|train accuracy: 91.23|test accuracy: 90.81
Epoch: 161|train loss: 0.2886|train accuracy: 91.24|test accuracy: 90.62
Epoch: 162|train loss: 0.2728|train accuracy: 91.73|test accuracy: 90.48
Epoch: 163|train loss: 0.3164|train accuracy: 90.71|test accuracy: 91.05
Epoch: 164|train loss: 0.3070|train accuracy: 90.93|test accuracy: 89.65
Epoch: 165|train loss: 0.2929|train accuracy: 91.30|test accuracy: 90.01
Epoch: 166|train loss: 0.3364|train accuracy: 89.90|test accuracy: 90.67
Epoch: 167|train loss: 0.2834|train accuracy: 91.65|test accuracy: 90.56
Epoch: 168|train loss: 0.3589|train accuracy: 90.10|test accuracy: 86.61
Epoch: 169|train loss: 0.3388|train accuracy: 90.33|test accuracy: 87.69
Epoch: 170|train loss: 0.3597|train accuracy: 89.56|test accuracy: 91.02
Epoch: 171|train loss: 0.3033|train accuracy: 90.86|test accuracy: 90.35
Epoch: 172|train loss: 0.3360|train accuracy: 90.85|test accuracy: 89.21
Epoch: 173|train loss: 0.2877|train accuracy: 91.18|test accuracy: 90.79
Epoch: 174|train loss: 0.2775|train accuracy: 91.87|test accuracy: 90.73
Epoch: 175|train loss: 0.3042|train accuracy: 91.47|test accuracy: 89.88
Epoch: 176|train loss: 0.3236|train accuracy: 90.53|test accuracy: 90.90
Epoch: 177|train loss: 0.3137|train accuracy: 91.23|test accuracy: 90.75
Epoch: 178|train loss: 0.3375|train accuracy: 90.82|test accuracy: 90.14
Epoch: 179|train loss: 0.3242|train accuracy: 90.84|test accuracy: 89.93
Epoch: 180|train loss: 0.3311|train accuracy: 90.70|test accuracy: 90.56
Epoch: 181|train loss: 0.2927|train accuracy: 90.72|test accuracy: 91.05
Epoch: 182|train loss: 0.2796|train accuracy: 91.71|test accuracy: 90.71
Epoch: 183|train loss: 0.2831|train accuracy: 91.60|test accuracy: 89.17
Epoch: 184|train loss: 0.3014|train accuracy: 91.18|test accuracy: 91.09
Epoch: 185|train loss: 0.2765|train accuracy: 92.11|test accuracy: 90.86
Epoch: 186|train loss: 0.2905|train accuracy: 91.24|test accuracy: 90.14
Epoch: 187|train loss: 0.2720|train accuracy: 91.77|test accuracy: 90.88
Epoch: 188|train loss: 0.2623|train accuracy: 91.97|test accuracy: 91.07
Epoch: 189|train loss: 0.3041|train accuracy: 91.49|test accuracy: 90.07
Epoch: 190|train loss: 0.3884|train accuracy: 90.11|test accuracy: 90.10
Epoch: 191|train loss: 0.2998|train accuracy: 91.03|test accuracy: 90.90
Epoch: 192|train loss: 0.2869|train accuracy: 91.61|test accuracy: 89.88
Epoch: 193|train loss: 0.3242|train accuracy: 90.70|test accuracy: 89.84
Epoch: 194|train loss: 0.3267|train accuracy: 90.76|test accuracy: 89.71
Epoch: 195|train loss: 0.3352|train accuracy: 90.10|test accuracy: 90.41
Epoch: 196|train loss: 0.2863|train accuracy: 91.35|test accuracy: 91.02
Epoch: 197|train loss: 0.3393|train accuracy: 91.07|test accuracy: 90.35
Epoch: 198|train loss: 0.3144|train accuracy: 91.18|test accuracy: 90.90
Epoch: 199|train loss: 0.3471|train accuracy: 90.69|test accuracy: 89.14
Epoch: 200|train loss: 0.3335|train accuracy: 90.77|test accuracy: 87.69
Epoch: 201|train loss: 0.2925|train accuracy: 91.29|test accuracy: 91.00
Epoch: 202|train loss: 0.3178|train accuracy: 91.69|test accuracy: 88.72
Epoch: 203|train loss: 0.3107|train accuracy: 90.40|test accuracy: 88.89
Epoch: 204|train loss: 0.2752|train accuracy: 91.95|test accuracy: 90.83
Epoch: 205|train loss: 0.2910|train accuracy: 91.49|test accuracy: 90.60
Epoch: 206|train loss: 0.2789|train accuracy: 91.69|test accuracy: 90.05
Epoch: 207|train loss: 0.2762|train accuracy: 92.24|test accuracy: 89.04
Epoch: 208|train loss: 0.2923|train accuracy: 91.35|test accuracy: 90.69
Epoch: 209|train loss: 0.3195|train accuracy: 90.86|test accuracy: 90.45
Epoch: 210|train loss: 0.2919|train accuracy: 91.05|test accuracy: 90.69
Epoch: 211|train loss: 0.2980|train accuracy: 91.26|test accuracy: 90.77
Epoch: 212|train loss: 0.2641|train accuracy: 92.17|test accuracy: 91.26
Epoch: 213|train loss: 0.2715|train accuracy: 91.81|test accuracy: 90.35
Epoch: 214|train loss: 0.3013|train accuracy: 90.66|test accuracy: 90.94
Epoch: 215|train loss: 0.2707|train accuracy: 92.08|test accuracy: 90.29
Epoch: 216|train loss: 0.3213|train accuracy: 91.27|test accuracy: 91.15
Epoch: 217|train loss: 0.2752|train accuracy: 91.63|test accuracy: 91.19
Epoch: 218|train loss: 0.3169|train accuracy: 91.86|test accuracy: 91.05
Epoch: 219|train loss: 0.2956|train accuracy: 91.05|test accuracy: 90.69
Epoch: 220|train loss: 0.3145|train accuracy: 91.27|test accuracy: 90.31
Epoch: 221|train loss: 0.2746|train accuracy: 92.10|test accuracy: 90.71
Epoch: 222|train loss: 0.2802|train accuracy: 91.77|test accuracy: 91.05
Epoch: 223|train loss: 0.2809|train accuracy: 91.78|test accuracy: 90.03
Epoch: 224|train loss: 0.3324|train accuracy: 91.19|test accuracy: 88.26
Epoch: 225|train loss: 0.3054|train accuracy: 91.25|test accuracy: 91.34
Epoch: 226|train loss: 0.3199|train accuracy: 91.34|test accuracy: 90.94
Epoch: 227|train loss: 0.2717|train accuracy: 91.90|test accuracy: 91.30
Epoch: 228|train loss: 0.2664|train accuracy: 92.00|test accuracy: 91.17
Epoch: 229|train loss: 0.2779|train accuracy: 91.83|test accuracy: 89.67
Epoch: 230|train loss: 0.2521|train accuracy: 92.30|test accuracy: 91.17
Epoch: 231|train loss: 0.2676|train accuracy: 92.35|test accuracy: 90.81
Epoch: 232|train loss: 0.2735|train accuracy: 91.48|test accuracy: 89.76
Epoch: 233|train loss: 0.2651|train accuracy: 92.15|test accuracy: 91.19
Epoch: 234|train loss: 0.2748|train accuracy: 91.73|test accuracy: 89.99
Epoch: 235|train loss: 0.3226|train accuracy: 91.57|test accuracy: 90.81
Epoch: 236|train loss: 0.2692|train accuracy: 91.95|test accuracy: 91.43
Epoch: 237|train loss: 0.2801|train accuracy: 92.23|test accuracy: 89.82
Epoch: 238|train loss: 0.3021|train accuracy: 91.47|test accuracy: 90.60
Epoch: 239|train loss: 0.2745|train accuracy: 91.83|test accuracy: 90.81
Epoch: 240|train loss: 0.2702|train accuracy: 92.20|test accuracy: 88.85
Epoch: 241|train loss: 0.3242|train accuracy: 91.01|test accuracy: 91.13
Epoch: 242|train loss: 0.3094|train accuracy: 91.26|test accuracy: 89.21
Epoch: 243|train loss: 0.3145|train accuracy: 91.24|test accuracy: 89.88
Epoch: 244|train loss: 0.3015|train accuracy: 91.07|test accuracy: 90.92
Epoch: 245|train loss: 0.2646|train accuracy: 92.06|test accuracy: 91.11
Epoch: 246|train loss: 0.2999|train accuracy: 92.03|test accuracy: 90.77
Epoch: 247|train loss: 0.2867|train accuracy: 91.56|test accuracy: 90.71
Epoch: 248|train loss: 0.2835|train accuracy: 91.35|test accuracy: 90.48
Epoch: 249|train loss: 0.2529|train accuracy: 92.42|test accuracy: 90.69
Epoch: 250|train loss: 0.2660|train accuracy: 92.38|test accuracy: 90.20
Epoch: 251|train loss: 0.2963|train accuracy: 91.92|test accuracy: 91.07
Epoch: 252|train loss: 0.2632|train accuracy: 92.04|test accuracy: 88.70
Epoch: 253|train loss: 0.2576|train accuracy: 92.17|test accuracy: 90.60
Epoch: 254|train loss: 0.2892|train accuracy: 91.54|test accuracy: 89.61
Epoch: 255|train loss: 0.2639|train accuracy: 92.12|test accuracy: 89.82
Epoch: 256|train loss: 0.2700|train accuracy: 91.90|test accuracy: 90.37
Epoch: 257|train loss: 0.2541|train accuracy: 92.32|test accuracy: 91.45
Epoch: 258|train loss: 0.2946|train accuracy: 92.40|test accuracy: 89.82
Epoch: 259|train loss: 0.3091|train accuracy: 90.98|test accuracy: 91.17
